0,H
1,H
2,NH
3,NH
4,H
5,NH
6,H
7,H
8,H
9,H
10,H
11,H
12,NH
13,NH
14,H
15,H
16,H
17,NH
18,NH
19,H
20,NH
21,NH
22,H
23,NH
24,NH
25,H
26,NH
27,NH
28,NH
29,NH
30,H
31,NH
32,H
33,NH
34,NH
35,NH
36,NH
37,H
38,H
39,NH
40,NH
41,NH
42,H
43,H
44,H
45,NH
46,NH
47,NH
48,H
49,H
50,H
51,H
52,NH
53,NH
54,H
55,H
56,NH
57,NH
58,NH
59,NH
60,NH
61,NH
62,NH
63,NH
64,NH
65,NH
66,NH
67,NH
68,NH
69,H
70,NH
71,NH
72,H
73,NH
74,NH
75,NH
76,H
77,H
78,NH
79,H
80,H
81,NH
82,NH
83,H
84,NH
85,H
86,H
87,NH
88,NH
89,NH
90,H
91,H
92,H
93,H
94,NH
95,H
96,NH
97,NH
98,NH
99,H
100,H
101,H
102,H
103,H
104,H
105,H
106,H
107,NH
108,H
109,H
110,NH
111,H
112,NH
113,NH
114,H
115,H
116,H
117,NH
118,NH
119,NH
120,H
121,NH
122,H
123,NH
124,H
125,NH
126,H
127,NH
128,H
129,H
130,H
131,H
132,NH
133,NH
134,NH
135,NH
136,H
137,H
138,NH
139,NH
140,NH
141,NH
142,H
143,NH
144,NH
145,NH
146,H
147,H
148,H
149,H
150,NH
151,H
152,NH
153,H
154,H
155,H
156,H
157,H
158,H
159,H
160,NH
161,NH
162,H
163,H
164,H
165,H
166,NH
167,H
168,NH
169,NH
170,H
171,NH
172,H
173,H
174,H
175,H
176,H
177,NH
178,NH
179,NH
180,H
181,H
182,H
183,NH
184,H
185,H
186,H
187,H
188,NH
189,H
190,NH
191,NH
192,NH
193,NH
194,NH
195,H
196,H
197,H
198,H
199,NH
200,H
201,NH
202,NH
203,NH
204,H
205,H
206,H
207,NH
208,H
209,NH
210,NH
211,H
212,H
213,H
214,H
215,NH
216,NH
217,NH
218,NH
219,NH
220,H
221,H
222,NH
223,NH
224,H
225,H
226,NH
227,NH
228,NH
229,NH
230,NH
231,H
232,NH
233,NH
234,NH
235,NH
236,H
237,H
238,H
239,NH
240,H
241,NH
242,H
243,NH
244,NH
245,NH
246,NH
247,H
248,NH
249,H
250,H
251,H
252,NH
253,NH
254,NH
255,H
256,NH
257,NH
258,H
259,NH
260,NH
261,H
262,NH
263,H
264,NH
265,NH
266,NH
267,H
268,H
269,H
270,NH
271,NH
272,NH
273,H
274,H
275,NH
276,H
277,NH
278,NH
279,H
280,NH
281,NH
282,H
283,NH
284,NH
285,H
286,NH
287,NH
288,NH
289,H
290,NH
291,H
292,H
293,NH
294,NH
295,NH
296,H
297,NH
298,H
299,H
300,H
301,NH
302,NH
303,NH
304,H
305,NH
306,H
307,NH
308,NH
309,H
310,NH
311,H
312,NH
313,NH
314,H
315,H
316,NH
317,H
318,NH
319,NH
320,H
321,H
322,H
323,NH
324,H
325,NH
326,H
327,H
328,H
329,NH
330,NH
331,H
332,NH
333,NH
334,H
335,NH
336,H
337,NH
338,H
339,NH
340,NH
341,NH
342,NH
343,H
344,NH
345,NH
346,H
347,H
348,H
349,NH
350,H
351,NH
352,NH
353,H
354,NH
355,NH
356,H
357,H
358,NH
359,H
360,H
361,H
362,NH
363,H
364,H
365,H
366,NH
367,H
368,H
369,NH
370,NH
371,NH
372,NH
373,NH
374,H
375,NH
376,H
377,H
378,H
379,H
380,NH
381,H
382,H
383,NH
384,H
385,NH
386,H
387,NH
388,NH
389,H
390,NH
391,NH
392,H
393,H
394,NH
395,H
396,H
397,H
398,H
399,NH
400,NH
401,NH
402,NH
403,NH
404,NH
405,H
406,NH
407,NH
408,NH
409,NH
410,NH
411,H
412,NH
413,H
414,NH
415,H
416,NH
417,NH
418,NH
419,NH
420,H
421,H
422,NH
423,NH
424,NH
425,NH
426,NH
427,NH
428,NH
429,NH
430,H
431,NH
432,H
433,H
434,NH
435,NH
436,H
437,H
438,NH
439,H
440,NH
441,H
